x,y,z,Tiempo,time stamp
-0.01395072,0.07117448,-0.1273383,0.0997743,03/10/2021 01:34:15 a. m.
-0.01400828,0.07094222,-0.1261353,0.098096,03/10/2021 01:34:15 a. m.
-0.01513142,0.06947476,-0.1246287,0.102696,03/10/2021 01:34:16 a. m.
-0.01583776,0.06908353,-0.1240957,0.0974358,03/10/2021 01:34:16 a. m.
-0.01839979,0.06922518,-0.1240589,0.0984083,03/10/2021 01:34:16 a. m.
-0.02276624,0.07077912,-0.1211511,0.1035993,03/10/2021 01:34:16 a. m.
-0.02398829,0.07147887,-0.1203607,0.097809,03/10/2021 01:34:16 a. m.
-0.02293127,0.07236881,-0.1195325,0.1023974,03/10/2021 01:34:16 a. m.
-0.02226821,0.07386351,-0.1179658,0.0983221,03/10/2021 01:34:16 a. m.
-0.02196148,0.07732705,-0.1154069,0.1019066,03/10/2021 01:34:16 a. m.
-0.02295694,0.08163816,-0.1127688,0.0978942,03/10/2021 01:34:16 a. m.
-0.02505309,0.08648653,-0.1101404,0.0989991,03/10/2021 01:34:16 a. m.
-0.0252526,0.088989,-0.1069859,0.1024067,03/10/2021 01:34:17 a. m.
-0.0232772,0.09005073,-0.103115,0.1015127,03/10/2021 01:34:17 a. m.
-0.02236283,0.0907022,-0.100937,0.100307,03/10/2021 01:34:17 a. m.
-0.0215815,0.09148569,-0.09774359,0.0967956,03/10/2021 01:34:17 a. m.
-0.0199653,0.09208348,-0.09359817,0.0999158,03/10/2021 01:34:17 a. m.
-0.01883106,0.09241875,-0.09002568,0.103922,03/10/2021 01:34:17 a. m.
-0.01782919,0.09312423,-0.08848409,0.0968443,03/10/2021 01:34:17 a. m.
-0.01631353,0.09306483,-0.08748016,0.1013511,03/10/2021 01:34:17 a. m.
-0.01366415,0.09249444,-0.08699022,0.097562,03/10/2021 01:34:17 a. m.
-0.01031308,0.09098145,-0.08651358,0.1026264,03/10/2021 01:34:17 a. m.
-0.009230319,0.09055032,-0.08600931,0.0985718,03/10/2021 01:34:18 a. m.
-0.008081596,0.09118657,-0.08498031,0.1013639,03/10/2021 01:34:18 a. m.
-0.006402079,0.09222381,-0.0839615,0.099596,03/10/2021 01:34:18 a. m.
-0.004805412,0.09338664,-0.08295979,0.0972977,03/10/2021 01:34:18 a. m.
-0.002933774,0.09418923,-0.0824683,0.1032465,03/10/2021 01:34:18 a. m.
0.0004152991,0.09422631,-0.08047621,0.099817,03/10/2021 01:34:18 a. m.
0.003487822,0.09366481,-0.07845791,0.0968506,03/10/2021 01:34:18 a. m.
0.006361336,0.09235825,-0.07688281,0.1046153,03/10/2021 01:34:18 a. m.
0.007573843,0.09096076,-0.07526951,0.0988155,03/10/2021 01:34:18 a. m.
0.008722976,0.09080625,-0.07320401,0.1018386,03/10/2021 01:34:18 a. m.
0.009876356,0.09059972,-0.07215604,0.0979772,03/10/2021 01:34:19 a. m.
0.009713054,0.08973606,-0.0715593,0.0963911,03/10/2021 01:34:19 a. m.
0.01001769,0.08936739,-0.07152486,0.102296,03/10/2021 01:34:19 a. m.
0.01133054,0.08885381,-0.07199971,0.0985293,03/10/2021 01:34:19 a. m.
0.01209591,0.08793493,-0.07191744,0.1014111,03/10/2021 01:34:19 a. m.
0.01255512,0.08738358,-0.07186808,0.1022199,03/10/2021 01:34:19 a. m.
0.01286128,0.08711004,-0.07078396,0.0994608,03/10/2021 01:34:19 a. m.
0.01372583,0.08725575,-0.07026833,0.0978982,03/10/2021 01:34:19 a. m.
0.01364891,0.08739923,-0.06975318,0.0991366,03/10/2021 01:34:19 a. m.
0.01403347,0.08694203,-0.06970511,0.1011314,03/10/2021 01:34:19 a. m.
0.01520975,0.08667915,-0.06967749,0.0987116,03/10/2021 01:34:20 a. m.
0.01464877,0.08615802,-0.07015721,0.1030368,03/10/2021 01:34:20 a. m.
0.01462162,0.08504897,-0.07004496,0.0999499,03/10/2021 01:34:20 a. m.
0.01500429,0.08469827,-0.06892866,0.0969576,03/10/2021 01:34:20 a. m.
0.01489191,0.08367856,-0.0688175,0.1016695,03/10/2021 01:34:20 a. m.
0.01454575,0.08293444,-0.06873637,0.1000453,03/10/2021 01:34:20 a. m.
0.01469733,0.08274977,-0.06871624,0.100732,03/10/2021 01:34:20 a. m.
0.0147731,0.08265744,-0.06870618,0.0982378,03/10/2021 01:34:20 a. m.
0.01580583,0.08251823,-0.06924014,0.1022257,03/10/2021 01:34:20 a. m.
0.01611048,0.0820439,-0.07029094,0.0977574,03/10/2021 01:34:20 a. m.
0.0171767,0.08060931,-0.07181606,0.0987787,03/10/2021 01:34:21 a. m.
0.01763366,0.07992978,-0.07342727,0.1028747,03/10/2021 01:34:21 a. m.
0.01653285,0.07874039,-0.0755793,0.0989232,03/10/2021 01:34:21 a. m.
0.01691674,0.07692389,-0.07830282,0.1013188,03/10/2021 01:34:21 a. m.
0.01661699,0.07598966,-0.08167845,0.0986325,03/10/2021 01:34:21 a. m.
0.01631843,0.07635428,-0.08395199,0.0974243,03/10/2021 01:34:21 a. m.
0.01511596,0.07545547,-0.08737434,0.1032185,03/10/2021 01:34:21 a. m.
0.01487933,0.07464142,-0.0908383,0.0976313,03/10/2021 01:34:21 a. m.
0.01539373,0.07397918,-0.09086858,0.1028524,03/10/2021 01:34:21 a. m.
0.01634906,0.07267351,-0.08918193,0.098449,03/10/2021 01:34:21 a. m.
0.01770151,0.07216853,-0.08803189,0.1024024,03/10/2021 01:34:22 a. m.
0.01770151,0.07216853,-0.08803189,0.0986949,03/10/2021 01:34:22 a. m.
0.01799701,0.07179104,-0.08804186,0.0979503,03/10/2021 01:34:22 a. m.
0.01920824,0.0715629,-0.08921982,0.1052412,03/10/2021 01:34:22 a. m.
0.02012506,0.07172619,-0.0903856,0.0955519,03/10/2021 01:34:22 a. m.
0.02019972,0.07166016,-0.09097458,0.1027354,03/10/2021 01:34:22 a. m.
0.02204815,0.07303314,-0.08800906,0.0998321,03/10/2021 01:34:22 a. m.
0.02342181,0.07256688,-0.08627598,0.0982683,03/10/2021 01:34:22 a. m.
0.02449481,0.07251087,-0.08569495,0.1006732,03/10/2021 01:34:22 a. m.
0.02403107,0.07182643,-0.08628696,0.0991671,03/10/2021 01:34:22 a. m.
0.02372643,0.07222261,-0.08744724,0.1005551,03/10/2021 01:34:23 a. m.
0.02410723,0.07183896,-0.08979556,0.0990966,03/10/2021 01:34:23 a. m.
0.02387875,0.07223143,-0.09211713,0.1026505,03/10/2021 01:34:23 a. m.
0.02387875,0.07230239,-0.09328246,0.0981232,03/10/2021 01:34:23 a. m.
0.02449481,0.0727739,-0.09267074,0.1000069,03/10/2021 01:34:23 a. m.
0.02495496,0.07346812,-0.09263095,0.1008175,03/10/2021 01:34:23 a. m.
0.02548881,0.07414669,-0.09374747,0.0985496,03/10/2021 01:34:23 a. m.
0.02402037,0.075884,-0.09363444,0.1021077,03/10/2021 01:34:23 a. m.
0.02010952,0.07928613,-0.09285519,0.1008769,03/10/2021 01:34:23 a. m.
0.01826362,0.08164778,-0.09490763,0.0954358,03/10/2021 01:34:23 a. m.
0.01710995,0.08337913,-0.09858586,0.1047479,03/10/2021 01:34:24 a. m.
0.01211534,0.08415555,-0.1028634,0.0961703,03/10/2021 01:34:24 a. m.
0.006753772,0.08506653,-0.1098584,0.1051572,03/10/2021 01:34:24 a. m.
0.003590163,0.08526614,-0.1137021,0.0951298,03/10/2021 01:34:24 a. m.
0.002363864,0.08465273,-0.1143943,0.0988623,03/10/2021 01:34:24 a. m.
0.0006182753,0.08331314,-0.1141215,0.1014203,03/10/2021 01:34:24 a. m.
-0.002526011,0.08138051,-0.1133919,0.0991387,03/10/2021 01:34:24 a. m.
-0.002651054,0.07954665,-0.1097417,0.1024248,03/10/2021 01:34:24 a. m.
-0.0004490055,0.07839449,-0.1070709,0.0982131,03/10/2021 01:34:24 a. m.
0.002119858,0.07570379,-0.1057492,0.1023252,03/10/2021 01:34:24 a. m.
0.002996657,0.07304911,-0.1055472,0.0976002,03/10/2021 01:34:25 a. m.
0.00456661,0.07227581,-0.1068489,0.0989032,03/10/2021 01:34:25 a. m.
0.006836712,0.07465532,-0.1088428,0.1028393,03/10/2021 01:34:25 a. m.
0.008133382,0.07627722,-0.1132648,0.0976773,03/10/2021 01:34:25 a. m.
0.007114977,0.07598846,-0.1174837,0.1026089,03/10/2021 01:34:25 a. m.
0.006220862,0.07767359,-0.124277,0.1011716,03/10/2021 01:34:25 a. m.
0.003677737,0.08265438,-0.1324302,0.0978484,03/10/2021 01:34:25 a. m.
-0.002385322,0.08368223,-0.1320769,0.1001365,03/10/2021 01:34:25 a. m.
-0.005650941,0.08305476,-0.1310843,0.0981998,03/10/2021 01:34:25 a. m.
-0.005998496,0.08249051,-0.1318792,0.1028606,03/10/2021 01:34:25 a. m.
-0.008439738,0.08086023,-0.1318197,0.098039,03/10/2021 01:34:26 a. m.
-0.009793188,0.0797954,-0.1303341,0.102263,03/10/2021 01:34:26 a. m.
-0.009731393,0.07916505,-0.1287005,0.1020039,03/10/2021 01:34:26 a. m.
-0.009916801,0.07928651,-0.1280541,0.0937846,03/10/2021 01:34:26 a. m.
-0.01047095,0.07900884,-0.1287488,0.1032233,03/10/2021 01:34:26 a. m.
